area_code,reference_area,area_type,year,area,value,units
S12000013,Na h-Eileanan Siar,Local Authority,2008,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2015,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2007,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2003,Urban Vacant Land,10,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2010,Urban Vacant Land,9,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2018,Derelict Land,0,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2019,Derelict Land,0,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2016,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2019,Urban Vacant Land,8,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2016,Derelict Land,1,Hectares
S12000013,Na h-Eileanan Siar,Local Authority,2002,Urban Vacant Land,10,Hectares
S12000014,Falkirk,Local Authority,2017,Derelict Land,210,Hectares
S12000014,Falkirk,Local Authority,2015,Derelict Land,108,Hectares
S12000014,Falkirk,Local Authority,2011,Derelict Land,79,Hectares
S12000014,Falkirk,Local Authority,2003,Derelict Land,139,Hectares
S12000014,Falkirk,Local Authority,2016,Derelict Land,163,Hectares
S12000014,Falkirk,Local Authority,2002,Derelict Land,149,Hectares
S12000014,Falkirk,Local Authority,2004,Derelict Land,133,Hectares
S12000014,Falkirk,Local Authority,2015,Urban Vacant Land,91,Hectares
S12000014,Falkirk,Local Authority,2019,Urban Vacant Land,64,Hectares
S12000014,Falkirk,Local Authority,2014,Urban Vacant Land,86,Hectares
S12000014,Falkirk,Local Authority,2012,Urban Vacant Land,80,Hectares
S12000014,Falkirk,Local Authority,2003,Urban Vacant Land,122,Hectares
S12000014,Falkirk,Local Authority,2014,Derelict Land,101,Hectares
S12000014,Falkirk,Local Authority,2010,Urban Vacant Land,81,Hectares
S12000014,Falkirk,Local Authority,2018,Derelict Land,208,Hectares
S12000014,Falkirk,Local Authority,2005,Derelict Land,106,Hectares
S12000014,Falkirk,Local Authority,2010,Derelict Land,75,Hectares
S12000014,Falkirk,Local Authority,2005,Urban Vacant Land,106,Hectares
S12000014,Falkirk,Local Authority,2009,Derelict Land,90,Hectares
S12000014,Falkirk,Local Authority,2006,Derelict Land,111,Hectares
S12000014,Falkirk,Local Authority,2009,Urban Vacant Land,83,Hectares
S12000014,Falkirk,Local Authority,2013,Urban Vacant Land,85,Hectares
S12000014,Falkirk,Local Authority,2006,Urban Vacant Land,97,Hectares
S12000014,Falkirk,Local Authority,2004,Urban Vacant Land,119,Hectares
S12000014,Falkirk,Local Authority,2012,Derelict Land,79,Hectares
S12000014,Falkirk,Local Authority,2011,Urban Vacant Land,80,Hectares
S12000014,Falkirk,Local Authority,2018,Urban Vacant Land,69,Hectares
S12000014,Falkirk,Local Authority,2008,Derelict Land,93,Hectares
S12000014,Falkirk,Local Authority,2013,Derelict Land,89,Hectares
S12000014,Falkirk,Local Authority,2007,Derelict Land,97,Hectares
S12000014,Falkirk,Local Authority,2017,Urban Vacant Land,75,Hectares
S12000014,Falkirk,Local Authority,2016,Urban Vacant Land,83,Hectares
S12000014,Falkirk,Local Authority,2007,Urban Vacant Land,50,Hectares
S12000014,Falkirk,Local Authority,2008,Urban Vacant Land,48,Hectares
S12000014,Falkirk,Local Authority,2019,Derelict Land,194,Hectares
S12000014,Falkirk,Local Authority,2002,Urban Vacant Land,136,Hectares
S12000017,Highland,Local Authority,2002,Urban Vacant Land,205,Hectares
S12000017,Highland,Local Authority,2003,Urban Vacant Land,193,Hectares
S12000017,Highland,Local Authority,2007,Urban Vacant Land,116,Hectares
S12000017,Highland,Local Authority,2010,Urban Vacant Land,81,Hectares
S12000017,Highland,Local Authority,2004,Urban Vacant Land,192,Hectares
S12000017,Highland,Local Authority,2009,Urban Vacant Land,89,Hectares
S12000017,Highland,Local Authority,2011,Urban Vacant Land,82,Hectares
S12000017,Highland,Local Authority,2006,Urban Vacant Land,149,Hectares
S12000017,Highland,Local Authority,2012,Urban Vacant Land,82,Hectares
S12000017,Highland,Local Authority,2013,Urban Vacant Land,80,Hectares
S12000017,Highland,Local Authority,2005,Urban Vacant Land,175,Hectares
S12000017,Highland,Local Authority,2014,Urban Vacant Land,74,Hectares
S12000017,Highland,Local Authority,2015,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2016,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2016,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2002,Derelict Land,977,Hectares
S12000017,Highland,Local Authority,2018,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2013,Derelict Land,1302,Hectares
S12000017,Highland,Local Authority,2008,Urban Vacant Land,100,Hectares
S12000017,Highland,Local Authority,2019,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2005,Derelict Land,935,Hectares
S12000017,Highland,Local Authority,2012,Derelict Land,1373,Hectares
S12000017,Highland,Local Authority,2015,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2018,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2017,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2011,Derelict Land,1373,Hectares
S12000017,Highland,Local Authority,2014,Derelict Land,1299,Hectares
S12000017,Highland,Local Authority,2010,Derelict Land,1373,Hectares
S12000017,Highland,Local Authority,2003,Derelict Land,959,Hectares
S12000017,Highland,Local Authority,2007,Derelict Land,1253,Hectares
S12000017,Highland,Local Authority,2008,Derelict Land,1270,Hectares
S12000017,Highland,Local Authority,2017,Derelict Land,1276,Hectares
S12000017,Highland,Local Authority,2019,Urban Vacant Land,66,Hectares
S12000017,Highland,Local Authority,2009,Derelict Land,1303,Hectares
S12000017,Highland,Local Authority,2006,Derelict Land,922,Hectares
S12000017,Highland,Local Authority,2004,Derelict Land,938,Hectares
S12000018,Inverclyde,Local Authority,2013,Urban Vacant Land,123,Hectares
S12000018,Inverclyde,Local Authority,2018,Urban Vacant Land,73,Hectares
S12000018,Inverclyde,Local Authority,2003,Derelict Land,62,Hectares
S12000018,Inverclyde,Local Authority,2005,Derelict Land,63,Hectares
S12000018,Inverclyde,Local Authority,2004,Derelict Land,64,Hectares
S12000018,Inverclyde,Local Authority,2002,Derelict Land,64,Hectares
S12000018,Inverclyde,Local Authority,2009,Urban Vacant Land,98,Hectares
S12000018,Inverclyde,Local Authority,2003,Urban Vacant Land,73,Hectares
S12000018,Inverclyde,Local Authority,2014,Derelict Land,26,Hectares
S12000018,Inverclyde,Local Authority,2005,Urban Vacant Land,75,Hectares
S12000018,Inverclyde,Local Authority,2007,Derelict Land,26,Hectares
S12000018,Inverclyde,Local Authority,2008,Urban Vacant Land,101,Hectares
S12000018,Inverclyde,Local Authority,2006,Derelict Land,40,Hectares
S12000018,Inverclyde,Local Authority,2004,Urban Vacant Land,71,Hectares
S12000018,Inverclyde,Local Authority,2012,Urban Vacant Land,117,Hectares
S12000018,Inverclyde,Local Authority,2019,Urban Vacant Land,93,Hectares
S12000018,Inverclyde,Local Authority,2009,Derelict Land,24,Hectares
S12000018,Inverclyde,Local Authority,2016,Urban Vacant Land,78,Hectares
S12000018,Inverclyde,Local Authority,2018,Derelict Land,83,Hectares
S12000018,Inverclyde,Local Authority,2016,Derelict Land,82,Hectares
S12000018,Inverclyde,Local Authority,2011,Derelict Land,25,Hectares
S12000018,Inverclyde,Local Authority,2011,Urban Vacant Land,98,Hectares
S12000018,Inverclyde,Local Authority,2012,Derelict Land,24,Hectares
S12000018,Inverclyde,Local Authority,2008,Derelict Land,24,Hectares
S12000018,Inverclyde,Local Authority,2017,Derelict Land,81,Hectares
S12000018,Inverclyde,Local Authority,2010,Derelict Land,24,Hectares
S12000018,Inverclyde,Local Authority,2010,Urban Vacant Land,98,Hectares
S12000018,Inverclyde,Local Authority,2015,Derelict Land,28,Hectares
S12000018,Inverclyde,Local Authority,2015,Urban Vacant Land,136,Hectares
S12000018,Inverclyde,Local Authority,2006,Urban Vacant Land,85,Hectares
S12000018,Inverclyde,Local Authority,2013,Derelict Land,26,Hectares
S12000018,Inverclyde,Local Authority,2017,Urban Vacant Land,75,Hectares
S12000018,Inverclyde,Local Authority,2014,Urban Vacant Land,120,Hectares
S12000018,Inverclyde,Local Authority,2007,Urban Vacant Land,80,Hectares
S12000018,Inverclyde,Local Authority,2002,Urban Vacant Land,62,Hectares
S12000018,Inverclyde,Local Authority,2019,Derelict Land,59,Hectares
S12000019,Midlothian,Local Authority,2006,Derelict Land,279,Hectares
S12000019,Midlothian,Local Authority,2008,Derelict Land,261,Hectares
S12000019,Midlothian,Local Authority,2003,Derelict Land,262,Hectares
S12000019,Midlothian,Local Authority,2007,Derelict Land,267,Hectares
S12000019,Midlothian,Local Authority,2015,Derelict Land,189,Hectares
S12000019,Midlothian,Local Authority,2012,Derelict Land,254,Hectares
S12000019,Midlothian,Local Authority,2004,Derelict Land,288,Hectares
S12000019,Midlothian,Local Authority,2010,Derelict Land,259,Hectares
S12000019,Midlothian,Local Authority,2017,Urban Vacant Land,13,Hectares
S12000019,Midlothian,Local Authority,2019,Derelict Land,100,Hectares
S12000019,Midlothian,Local Authority,2013,Urban Vacant Land,18,Hectares
S12000019,Midlothian,Local Authority,2019,Urban Vacant Land,22,Hectares
S12000019,Midlothian,Local Authority,2018,Derelict Land,108,Hectares
S12000019,Midlothian,Local Authority,2018,Urban Vacant Land,13,Hectares
S12000019,Midlothian,Local Authority,2016,Derelict Land,182,Hectares
S12000019,Midlothian,Local Authority,2005,Urban Vacant Land,33,Hectares
S12000019,Midlothian,Local Authority,2017,Derelict Land,108,Hectares
S12000019,Midlothian,Local Authority,2010,Urban Vacant Land,15,Hectares
S12000019,Midlothian,Local Authority,2015,Urban Vacant Land,12,Hectares
S12000019,Midlothian,Local Authority,2012,Urban Vacant Land,17,Hectares
S12000019,Midlothian,Local Authority,2009,Urban Vacant Land,20,Hectares
S12000019,Midlothian,Local Authority,2008,Urban Vacant Land,21,Hectares
S12000019,Midlothian,Local Authority,2006,Urban Vacant Land,26,Hectares
S12000019,Midlothian,Local Authority,2014,Urban Vacant Land,12,Hectares
S12000019,Midlothian,Local Authority,2003,Urban Vacant Land,30,Hectares
S12000019,Midlothian,Local Authority,2007,Urban Vacant Land,21,Hectares
S12000019,Midlothian,Local Authority,2011,Urban Vacant Land,17,Hectares
S12000019,Midlothian,Local Authority,2016,Urban Vacant Land,11,Hectares
S12000019,Midlothian,Local Authority,2004,Urban Vacant Land,34,Hectares
S12000019,Midlothian,Local Authority,2002,Urban Vacant Land,27,Hectares
S12000019,Midlothian,Local Authority,2002,Derelict Land,259,Hectares
S12000019,Midlothian,Local Authority,2005,Derelict Land,287,Hectares
S12000019,Midlothian,Local Authority,2009,Derelict Land,260,Hectares
S12000019,Midlothian,Local Authority,2013,Derelict Land,254,Hectares
S12000019,Midlothian,Local Authority,2014,Derelict Land,205,Hectares
S12000019,Midlothian,Local Authority,2011,Derelict Land,256,Hectares
S12000020,Moray,Local Authority,2007,Urban Vacant Land,22,Hectares
S12000020,Moray,Local Authority,2004,Urban Vacant Land,29,Hectares
S12000020,Moray,Local Authority,2010,Urban Vacant Land,24,Hectares
S12000020,Moray,Local Authority,2003,Urban Vacant Land,31,Hectares
S12000020,Moray,Local Authority,2013,Urban Vacant Land,12,Hectares
S12000020,Moray,Local Authority,2014,Urban Vacant Land,12,Hectares
S12000020,Moray,Local Authority,2018,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2006,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2019,Urban Vacant Land,8,Hectares
S12000020,Moray,Local Authority,2012,Urban Vacant Land,14,Hectares
S12000020,Moray,Local Authority,2011,Derelict Land,2,Hectares
S12000020,Moray,Local Authority,2011,Urban Vacant Land,17,Hectares
S12000020,Moray,Local Authority,2005,Urban Vacant Land,29,Hectares
S12000020,Moray,Local Authority,2002,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2004,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2002,Urban Vacant Land,31,Hectares
S12000020,Moray,Local Authority,2009,Urban Vacant Land,20,Hectares
S12000020,Moray,Local Authority,2008,Urban Vacant Land,22,Hectares
S12000020,Moray,Local Authority,2003,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2006,Urban Vacant Land,27,Hectares
S12000020,Moray,Local Authority,2005,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2015,Urban Vacant Land,7,Hectares
S12000020,Moray,Local Authority,2017,Urban Vacant Land,8,Hectares
S12000020,Moray,Local Authority,2016,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2008,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2009,Derelict Land,6,Hectares
S12000020,Moray,Local Authority,2012,Derelict Land,3,Hectares
S12000020,Moray,Local Authority,2014,Derelict Land,9,Hectares
S12000020,Moray,Local Authority,2015,Derelict Land,8,Hectares
S12000020,Moray,Local Authority,2013,Derelict Land,9,Hectares
S12000020,Moray,Local Authority,2017,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2007,Derelict Land,7,Hectares
S12000020,Moray,Local Authority,2010,Derelict Land,3,Hectares
S12000020,Moray,Local Authority,2016,Urban Vacant Land,7,Hectares
S12000020,Moray,Local Authority,2018,Urban Vacant Land,8,Hectares
S12000020,Moray,Local Authority,2019,Derelict Land,7,Hectares
S12000021,North Ayrshire,Local Authority,2014,Derelict Land,1137,Hectares
S12000021,North Ayrshire,Local Authority,2009,Derelict Land,1114,Hectares
S12000021,North Ayrshire,Local Authority,2008,Derelict Land,1099,Hectares
S12000021,North Ayrshire,Local Authority,2007,Derelict Land,1071,Hectares
S12000021,North Ayrshire,Local Authority,2005,Urban Vacant Land,201,Hectares
S12000021,North Ayrshire,Local Authority,2010,Urban Vacant Land,199,Hectares
S12000021,North Ayrshire,Local Authority,2011,Urban Vacant Land,226,Hectares
S12000021,North Ayrshire,Local Authority,2015,Urban Vacant Land,218,Hectares
S12000021,North Ayrshire,Local Authority,2007,Urban Vacant Land,208,Hectares
S12000021,North Ayrshire,Local Authority,2003,Urban Vacant Land,188,Hectares
S12000021,North Ayrshire,Local Authority,2004,Urban Vacant Land,184,Hectares
S12000021,North Ayrshire,Local Authority,2012,Urban Vacant Land,231,Hectares
S12000021,North Ayrshire,Local Authority,2013,Urban Vacant Land,223,Hectares
S12000021,North Ayrshire,Local Authority,2009,Urban Vacant Land,202,Hectares
S12000021,North Ayrshire,Local Authority,2002,Urban Vacant Land,148,Hectares
S12000021,North Ayrshire,Local Authority,2012,Derelict Land,1124,Hectares
S12000021,North Ayrshire,Local Authority,2006,Urban Vacant Land,194,Hectares
S12000021,North Ayrshire,Local Authority,2014,Urban Vacant Land,218,Hectares
S12000021,North Ayrshire,Local Authority,2019,Urban Vacant Land,176,Hectares
S12000021,North Ayrshire,Local Authority,2016,Urban Vacant Land,215,Hectares
S12000021,North Ayrshire,Local Authority,2017,Urban Vacant Land,199,Hectares
S12000021,North Ayrshire,Local Authority,2018,Urban Vacant Land,181,Hectares
S12000021,North Ayrshire,Local Authority,2015,Derelict Land,1129,Hectares
S12000021,North Ayrshire,Local Authority,2002,Derelict Land,270,Hectares
S12000021,North Ayrshire,Local Authority,2003,Derelict Land,356,Hectares
S12000021,North Ayrshire,Local Authority,2011,Derelict Land,1127,Hectares
S12000021,North Ayrshire,Local Authority,2005,Derelict Land,345,Hectares
S12000021,North Ayrshire,Local Authority,2008,Urban Vacant Land,203,Hectares
S12000021,North Ayrshire,Local Authority,2006,Derelict Land,996,Hectares
S12000021,North Ayrshire,Local Authority,2016,Derelict Land,1127,Hectares
S12000021,North Ayrshire,Local Authority,2018,Derelict Land,1098,Hectares
S12000021,North Ayrshire,Local Authority,2013,Derelict Land,1125,Hectares
S12000021,North Ayrshire,Local Authority,2017,Derelict Land,1147,Hectares
S12000021,North Ayrshire,Local Authority,2019,Derelict Land,1011,Hectares
S12000021,North Ayrshire,Local Authority,2010,Derelict Land,1114,Hectares
S12000021,North Ayrshire,Local Authority,2004,Derelict Land,347,Hectares
S12000023,Orkney Islands,Local Authority,2011,Derelict Land,40,Hectares
S12000023,Orkney Islands,Local Authority,2015,Urban Vacant Land,0,Hectares
S12000023,Orkney Islands,Local Authority,2009,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2006,Urban Vacant Land,2,Hectares
S12000023,Orkney Islands,Local Authority,2003,Urban Vacant Land,2,Hectares
S12000023,Orkney Islands,Local Authority,2013,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2017,Urban Vacant Land,0,Hectares
S12000023,Orkney Islands,Local Authority,2002,Derelict Land,43,Hectares
S12000023,Orkney Islands,Local Authority,2013,Urban Vacant Land,0,Hectares
S12000023,Orkney Islands,Local Authority,2019,Derelict Land,32,Hectares
S12000023,Orkney Islands,Local Authority,2016,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2009,Urban Vacant Land,1,Hectares
S12000023,Orkney Islands,Local Authority,2004,Urban Vacant Land,2,Hectares
S12000023,Orkney Islands,Local Authority,2005,Urban Vacant Land,2,Hectares
S12000023,Orkney Islands,Local Authority,2010,Urban Vacant Land,1,Hectares
S12000023,Orkney Islands,Local Authority,2007,Urban Vacant Land,2,Hectares
S12000023,Orkney Islands,Local Authority,2011,Urban Vacant Land,1,Hectares
S12000023,Orkney Islands,Local Authority,2014,Urban Vacant Land,0,Hectares
S12000023,Orkney Islands,Local Authority,2002,Urban Vacant Land,4,Hectares
S12000023,Orkney Islands,Local Authority,2008,Urban Vacant Land,1,Hectares
S12000023,Orkney Islands,Local Authority,2012,Urban Vacant Land,1,Hectares
S12000023,Orkney Islands,Local Authority,2017,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2019,Urban Vacant Land,0,Hectares
S12000023,Orkney Islands,Local Authority,2004,Derelict Land,41,Hectares
S12000023,Orkney Islands,Local Authority,2007,Derelict Land,40,Hectares
S12000023,Orkney Islands,Local Authority,2018,Derelict Land,32,Hectares
S12000023,Orkney Islands,Local Authority,2018,Urban Vacant Land,0,Hectares
S12000023,Orkney Islands,Local Authority,2008,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2012,Derelict Land,40,Hectares
S12000023,Orkney Islands,Local Authority,2014,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2015,Derelict Land,39,Hectares
S12000023,Orkney Islands,Local Authority,2006,Derelict Land,40,Hectares
S12000023,Orkney Islands,Local Authority,2010,Derelict Land,40,Hectares
S12000023,Orkney Islands,Local Authority,2005,Derelict Land,41,Hectares
S12000023,Orkney Islands,Local Authority,2003,Derelict Land,41,Hectares
S12000023,Orkney Islands,Local Authority,2016,Urban Vacant Land,0,Hectares
S12000026,Scottish Borders,Local Authority,2016,Urban Vacant Land,26,Hectares
S12000026,Scottish Borders,Local Authority,2003,Urban Vacant Land,15,Hectares
S12000026,Scottish Borders,Local Authority,2008,Derelict Land,75,Hectares
S12000026,Scottish Borders,Local Authority,2004,Derelict Land,44,Hectares
S12000026,Scottish Borders,Local Authority,2011,Derelict Land,57,Hectares
S12000026,Scottish Borders,Local Authority,2006,Derelict Land,49,Hectares
S12000026,Scottish Borders,Local Authority,2005,Derelict Land,44,Hectares
S12000026,Scottish Borders,Local Authority,2015,Urban Vacant Land,26,Hectares
S12000026,Scottish Borders,Local Authority,2010,Urban Vacant Land,29,Hectares
S12000026,Scottish Borders,Local Authority,2013,Urban Vacant Land,28,Hectares
S12000026,Scottish Borders,Local Authority,2002,Urban Vacant Land,15,Hectares
S12000026,Scottish Borders,Local Authority,2016,Derelict Land,49,Hectares
S12000026,Scottish Borders,Local Authority,2012,Urban Vacant Land,28,Hectares
S12000026,Scottish Borders,Local Authority,2005,Urban Vacant Land,15,Hectares
S12000026,Scottish Borders,Local Authority,2006,Urban Vacant Land,6,Hectares
S12000026,Scottish Borders,Local Authority,2011,Urban Vacant Land,26,Hectares
S12000026,Scottish Borders,Local Authority,2008,Urban Vacant Land,14,Hectares
S12000026,Scottish Borders,Local Authority,2014,Urban Vacant Land,27,Hectares
S12000026,Scottish Borders,Local Authority,2009,Urban Vacant Land,30,Hectares
S12000026,Scottish Borders,Local Authority,2017,Urban Vacant Land,24,Hectares
S12000026,Scottish Borders,Local Authority,2007,Derelict Land,93,Hectares
S12000026,Scottish Borders,Local Authority,2004,Urban Vacant Land,15,Hectares
S12000026,Scottish Borders,Local Authority,2007,Urban Vacant Land,14,Hectares
S12000026,Scottish Borders,Local Authority,2019,Derelict Land,46,Hectares
S12000026,Scottish Borders,Local Authority,2013,Derelict Land,54,Hectares
S12000026,Scottish Borders,Local Authority,2018,Urban Vacant Land,22,Hectares
S12000026,Scottish Borders,Local Authority,2014,Derelict Land,49,Hectares
S12000026,Scottish Borders,Local Authority,2015,Derelict Land,49,Hectares
S12000026,Scottish Borders,Local Authority,2009,Derelict Land,70,Hectares
S12000026,Scottish Borders,Local Authority,2012,Derelict Land,58,Hectares
S12000026,Scottish Borders,Local Authority,2003,Derelict Land,44,Hectares
S12000026,Scottish Borders,Local Authority,2019,Urban Vacant Land,21,Hectares
S12000026,Scottish Borders,Local Authority,2017,Derelict Land,46,Hectares
S12000026,Scottish Borders,Local Authority,2018,Derelict Land,45,Hectares
S12000026,Scottish Borders,Local Authority,2010,Derelict Land,62,Hectares
