area_code,reference_area,area_type,reference_period,indicator,value,units
S12000040,West Lothian,Local Authority,2010/2011,Waste Arisings (Tonnes),109783,Tonnes
S12000040,West Lothian,Local Authority,2004/2005,Waste Arisings (Tonnes),109265,Tonnes
S12000040,West Lothian,Local Authority,2008/2009,Waste Arisings (Tonnes),110520,Tonnes
S12000040,West Lothian,Local Authority,2009/2010,Waste Arisings (Tonnes),108936,Tonnes
S12000040,West Lothian,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),648,Kg Per Capita
S12000040,West Lothian,Local Authority,2007/2008,Waste Arisings (Tonnes),109635,Tonnes
S12000040,West Lothian,Local Authority,2005/2006,Waste Arisings (Tonnes),111374,Tonnes
S12000039,West Dunbartonshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),659,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),37.6,ktonnes
S12000039,West Dunbartonshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),18.2,ktonnes
S12000039,West Dunbartonshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.1,ktonnes
S12000039,West Dunbartonshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),30.9,ktonnes
S12000039,West Dunbartonshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),666,Kg Per Capita
S12000040,West Lothian,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),33.9,ktonnes
S12000040,West Lothian,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),35,ktonnes
S12000040,West Lothian,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),45.8,ktonnes
S12000040,West Lothian,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),652,Kg Per Capita
S12000040,West Lothian,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),653,Kg Per Capita
S12000040,West Lothian,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),35.2,ktonnes
S12000040,West Lothian,Local Authority,2011/2012,Waste Arisings (Tonnes),112110,Tonnes
S12000050,North Lanarkshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),71.6,ktonnes
S12000040,West Lothian,Local Authority,2006/2007,Waste Arisings (Tonnes),112912,Tonnes
S12000040,West Lothian,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),40.6,ktonnes
S12000040,West Lothian,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),54.1,ktonnes
S12000040,West Lothian,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),45.3,ktonnes
S12000039,West Dunbartonshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),584,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2004/2005,Waste Arisings (Tonnes),64114,Tonnes
S12000039,West Dunbartonshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),529,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2009/2010,Waste Arisings (Tonnes),222396,Tonnes
S12000050,North Lanarkshire,Local Authority,2011/2012,Waste Arisings (Tonnes),178296,Tonnes
S12000039,West Dunbartonshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),499,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2007/2008,Waste Arisings (Tonnes),59995,Tonnes
S12000039,West Dunbartonshire,Local Authority,2005/2006,Waste Arisings (Tonnes),61220,Tonnes
S12000039,West Dunbartonshire,Local Authority,2006/2007,Waste Arisings (Tonnes),60742,Tonnes
S12000039,West Dunbartonshire,Local Authority,2008/2009,Waste Arisings (Tonnes),53143,Tonnes
S12000039,West Dunbartonshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),534,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2009/2010,Waste Arisings (Tonnes),48550,Tonnes
S12000039,West Dunbartonshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),22.6,ktonnes
S12000039,West Dunbartonshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.8,ktonnes
S12000050,North Lanarkshire,Local Authority,2007/2008,Waste Arisings (Tonnes),238209,Tonnes
S12000039,West Dunbartonshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),697,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),670,Kg Per Capita
S12000039,West Dunbartonshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.9,ktonnes
S12000050,North Lanarkshire,Local Authority,2006/2007,Waste Arisings (Tonnes),228455,Tonnes
S12000050,North Lanarkshire,Local Authority,2005/2006,Waste Arisings (Tonnes),231898,Tonnes
S12000050,North Lanarkshire,Local Authority,2010/2011,Waste Arisings (Tonnes),207166,Tonnes
S12000050,North Lanarkshire,Local Authority,2008/2009,Waste Arisings (Tonnes),224699,Tonnes
S12000039,West Dunbartonshire,Local Authority,2010/2011,Waste Arisings (Tonnes),47927,Tonnes
S12000039,West Dunbartonshire,Local Authority,2011/2012,Waste Arisings (Tonnes),45106,Tonnes
S12000050,North Lanarkshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),682,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),13.1,ktonnes
S12000005,Clackmannanshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),14.2,ktonnes
S12000050,North Lanarkshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),734,Kg Per Capita
S12000005,Clackmannanshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),11.4,ktonnes
S12000005,Clackmannanshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),14.2,ktonnes
S12000005,Clackmannanshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),10.3,ktonnes
S12000050,North Lanarkshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),546,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),706,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2004/2005,Waste Arisings (Tonnes),216680,Tonnes
S12000005,Clackmannanshire,Local Authority,2011/2012,Waste Arisings (Tonnes),30999,Tonnes
S12000050,North Lanarkshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),690,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),716,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),636,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),66.6,ktonnes
S12000040,West Lothian,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),637,Kg Per Capita
S12000040,West Lothian,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),677,Kg Per Capita
S12000040,West Lothian,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),638,Kg Per Capita
S12000040,West Lothian,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),681,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),79.3,ktonnes
S12000040,West Lothian,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),673,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),635,Kg Per Capita
S12000050,North Lanarkshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),101.2,ktonnes
S12000050,North Lanarkshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),100.7,ktonnes
S12000050,North Lanarkshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),99,ktonnes
S12000050,North Lanarkshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),99.1,ktonnes
S12000017,Highland,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),761,Kg Per Capita
S12000017,Highland,Local Authority,2006/2007,Waste Arisings (Tonnes),163744,Tonnes
S12000017,Highland,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),749,Kg Per Capita
S12000017,Highland,Local Authority,2007/2008,Waste Arisings (Tonnes),164315,Tonnes
S12000017,Highland,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),673,Kg Per Capita
S12000017,Highland,Local Authority,2005/2006,Waste Arisings (Tonnes),161082,Tonnes
S12000048,Perth and Kinross,Local Authority,2004/2005,Waste Arisings (Tonnes),99030,Tonnes
S12000017,Highland,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),734,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2007/2008,Waste Arisings (Tonnes),105910,Tonnes
S12000017,Highland,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),719,Kg Per Capita
S12000017,Highland,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),754,Kg Per Capita
S12000017,Highland,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),756,Kg Per Capita
S12000017,Highland,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),92.9,ktonnes
S12000017,Highland,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),77.4,ktonnes
S12000017,Highland,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),82,ktonnes
S12000018,Inverclyde,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),611,Kg Per Capita
S12000018,Inverclyde,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),633,Kg Per Capita
S12000018,Inverclyde,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),640,Kg Per Capita
S12000017,Highland,Local Authority,2004/2005,Waste Arisings (Tonnes),158338,Tonnes
S12000017,Highland,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),67.7,ktonnes
S12000017,Highland,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),700,Kg Per Capita
S12000017,Highland,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),63.8,ktonnes
S12000017,Highland,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),64.3,ktonnes
S12000017,Highland,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),70.3,ktonnes
S12000014,Falkirk,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.3,ktonnes
S12000014,Falkirk,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),51.6,ktonnes
S12000014,Falkirk,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),761,Kg Per Capita
S12000014,Falkirk,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),36.3,ktonnes
S12000014,Falkirk,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),45.2,ktonnes
S12000014,Falkirk,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),56.4,ktonnes
S12000048,Perth and Kinross,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),730,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),35.4,ktonnes
S12000048,Perth and Kinross,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),27.5,ktonnes
S12000014,Falkirk,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),29.9,ktonnes
S12000014,Falkirk,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),31.8,ktonnes
S12000048,Perth and Kinross,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),30.6,ktonnes
S12000017,Highland,Local Authority,2011/2012,Waste Arisings (Tonnes),149574,Tonnes
S12000017,Highland,Local Authority,2009/2010,Waste Arisings (Tonnes),158451,Tonnes
S12000014,Falkirk,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),679,Kg Per Capita
S12000017,Highland,Local Authority,2010/2011,Waste Arisings (Tonnes),155213,Tonnes
S12000048,Perth and Kinross,Local Authority,2006/2007,Waste Arisings (Tonnes),107424,Tonnes
S12000017,Highland,Local Authority,2008/2009,Waste Arisings (Tonnes),161146,Tonnes
S12000014,Falkirk,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),633,Kg Per Capita
S12000014,Falkirk,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),585,Kg Per Capita
S12000014,Falkirk,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),597,Kg Per Capita
S12000014,Falkirk,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),761,Kg Per Capita
S12000014,Falkirk,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),772,Kg Per Capita
S12000014,Falkirk,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),588,Kg Per Capita
S12000019,Midlothian,Local Authority,2010/2011,Waste Arisings (Tonnes),46621,Tonnes
S12000019,Midlothian,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),657,Kg Per Capita
S12000019,Midlothian,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),637,Kg Per Capita
S12000019,Midlothian,Local Authority,2004/2005,Waste Arisings (Tonnes),54745,Tonnes
S12000019,Midlothian,Local Authority,2008/2009,Waste Arisings (Tonnes),51284,Tonnes
S12000019,Midlothian,Local Authority,2007/2008,Waste Arisings (Tonnes),52271,Tonnes
S12000018,Inverclyde,Local Authority,2006/2007,Waste Arisings (Tonnes),53330,Tonnes
S12000018,Inverclyde,Local Authority,2010/2011,Waste Arisings (Tonnes),46422,Tonnes
S12000018,Inverclyde,Local Authority,2005/2006,Waste Arisings (Tonnes),51988,Tonnes
S12000018,Inverclyde,Local Authority,2009/2010,Waste Arisings (Tonnes),46820,Tonnes
S12000019,Midlothian,Local Authority,2009/2010,Waste Arisings (Tonnes),48242,Tonnes
S12000018,Inverclyde,Local Authority,2011/2012,Waste Arisings (Tonnes),44915,Tonnes
S12000019,Midlothian,Local Authority,2006/2007,Waste Arisings (Tonnes),53917,Tonnes
S12000047,Fife,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),108.6,ktonnes
S12000047,Fife,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),678,Kg Per Capita
S12000019,Midlothian,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),18.4,ktonnes
S12000019,Midlothian,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.2,ktonnes
S12000019,Midlothian,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),19.2,ktonnes
S12000019,Midlothian,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),575,Kg Per Capita
S12000047,Fife,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),696,Kg Per Capita
S12000019,Midlothian,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),597,Kg Per Capita
S12000047,Fife,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),685,Kg Per Capita
S12000019,Midlothian,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),592,Kg Per Capita
S12000047,Fife,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),694,Kg Per Capita
S12000018,Inverclyde,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),19.3,ktonnes
S12000018,Inverclyde,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),19.8,ktonnes
S12000018,Inverclyde,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.1,ktonnes
S12000018,Inverclyde,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),592,Kg Per Capita
S12000018,Inverclyde,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),26.2,ktonnes
S12000018,Inverclyde,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),28.7,ktonnes
S12000018,Inverclyde,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),567,Kg Per Capita
S12000018,Inverclyde,Local Authority,2004/2005,Waste Arisings (Tonnes),50748,Tonnes
S12000018,Inverclyde,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),654,Kg Per Capita
S12000018,Inverclyde,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),582,Kg Per Capita
S12000018,Inverclyde,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.3,ktonnes
S12000018,Inverclyde,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),584,Kg Per Capita
S12000047,Fife,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),699,Kg Per Capita
S12000047,Fife,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),691,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2009/2010,Waste Arisings (Tonnes),95201,Tonnes
S12000018,Inverclyde,Local Authority,2007/2008,Waste Arisings (Tonnes),51871,Tonnes
S12000018,Inverclyde,Local Authority,2008/2009,Waste Arisings (Tonnes),49348,Tonnes
S12000047,Fife,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),708,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2005/2006,Waste Arisings (Tonnes),103048,Tonnes
S12000048,Perth and Kinross,Local Authority,2010/2011,Waste Arisings (Tonnes),92808,Tonnes
S12000018,Inverclyde,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.7,ktonnes
S12000048,Perth and Kinross,Local Authority,2008/2009,Waste Arisings (Tonnes),98374,Tonnes
S12000048,Perth and Kinross,Local Authority,2011/2012,Waste Arisings (Tonnes),94233,Tonnes
S12000011,East Renfrewshire,Local Authority,2008/2009,Waste Arisings (Tonnes),53247,Tonnes
S12000011,East Renfrewshire,Local Authority,2004/2005,Waste Arisings (Tonnes),58516,Tonnes
S12000011,East Renfrewshire,Local Authority,2007/2008,Waste Arisings (Tonnes),55883,Tonnes
S12000011,East Renfrewshire,Local Authority,2006/2007,Waste Arisings (Tonnes),57001,Tonnes
S12000048,Perth and Kinross,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),766,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2011/2012,Waste Arisings (Tonnes),21439,Tonnes
S12000011,East Renfrewshire,Local Authority,2005/2006,Waste Arisings (Tonnes),58117,Tonnes
S12000011,East Renfrewshire,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),566,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),546,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),525,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),638,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),597,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),626,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),44.6,ktonnes
S12000048,Perth and Kinross,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),43.2,ktonnes
S12000048,Perth and Kinross,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),652,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),903,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),736,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),48.1,ktonnes
S12000013,Na h-Eileanan Siar,Local Authority,2009/2010,Waste Arisings (Tonnes),22211,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2008/2009,Waste Arisings (Tonnes),23647,Tonnes
S12000048,Perth and Kinross,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),628,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),630,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),682,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2010/2011,Waste Arisings (Tonnes),22262,Tonnes
S12000011,East Renfrewshire,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),22.4,ktonnes
S12000011,East Renfrewshire,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),13.3,ktonnes
S12000011,East Renfrewshire,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),614,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),20.4,ktonnes
S12000011,East Renfrewshire,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.2,ktonnes
S12000011,East Renfrewshire,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),25.2,ktonnes
S12000011,East Renfrewshire,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),19.8,ktonnes
S12000010,East Lothian,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),709,Kg Per Capita
S12000010,East Lothian,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),711,Kg Per Capita
S12000010,East Lothian,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),729,Kg Per Capita
S12000010,East Lothian,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),698,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),645,Kg Per Capita
S12000010,East Lothian,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),23.8,ktonnes
S12000049,Glasgow City,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),625,Kg Per Capita
S12000049,Glasgow City,Local Authority,2008/2009,Waste Arisings Per Capita (Kg),594,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2011/2012,Waste Arisings (Tonnes),49027,Tonnes
S12000048,Perth and Kinross,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),745,Kg Per Capita
S12000048,Perth and Kinross,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),744,Kg Per Capita
S12000049,Glasgow City,Local Authority,2007/2008,Waste Arisings Per Capita (Kg),624,Kg Per Capita
S12000049,Glasgow City,Local Authority,2004/2005,Waste Arisings (Tonnes),354469,Tonnes
S12000049,Glasgow City,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),508,Kg Per Capita
S12000011,East Renfrewshire,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),24.4,ktonnes
S12000011,East Renfrewshire,Local Authority,2010/2011,Waste Arisings (Tonnes),47002,Tonnes
S12000011,East Renfrewshire,Local Authority,2009/2010,Waste Arisings (Tonnes),50553,Tonnes
S12000049,Glasgow City,Local Authority,2006/2007,Waste Arisings Per Capita (Kg),635,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2004/2005,Waste Arisings (Tonnes),19642,Tonnes
S12000014,Falkirk,Local Authority,2005/2006,Waste Arisings (Tonnes),115168,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2010/2011,Waste Arisings Per Capita (Kg),850,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2008/2009,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),12,ktonnes
S12000014,Falkirk,Local Authority,2010/2011,Waste Arisings (Tonnes),90122,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2005/2006,Waste Arisings (Tonnes),22786,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2006/2007,Waste Arisings (Tonnes),21592,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2011/2012,Waste Arisings Per Capita (Kg),822,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2007/2008,Waste Arisings (Tonnes),19355,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),13,ktonnes
S12000013,Na h-Eileanan Siar,Local Authority,2007/2008,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),9.2,ktonnes
S12000013,Na h-Eileanan Siar,Local Authority,2004/2005,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),12.7,ktonnes
S12000013,Na h-Eileanan Siar,Local Authority,2009/2010,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),10.4,ktonnes
S12000013,Na h-Eileanan Siar,Local Authority,2010/2011,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),10.7,ktonnes
S12000014,Falkirk,Local Authority,2008/2009,Waste Arisings (Tonnes),95993,Tonnes
S12000014,Falkirk,Local Authority,2011/2012,Waste Arisings (Tonnes),90309,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2006/2007,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),11.2,ktonnes
S12000014,Falkirk,Local Authority,2009/2010,Waste Arisings (Tonnes),90980,Tonnes
S12000048,Perth and Kinross,Local Authority,2005/2006,Biodegradable Municipal Waste Sent To Landfill (Ktonnes),43.2,ktonnes
S12000014,Falkirk,Local Authority,2006/2007,Waste Arisings (Tonnes),113845,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2005/2006,Waste Arisings Per Capita (Kg),807,Kg Per Capita
S12000013,Na h-Eileanan Siar,Local Authority,2009/2010,Waste Arisings Per Capita (Kg),848,Kg Per Capita
S12000014,Falkirk,Local Authority,2004/2005,Waste Arisings (Tonnes),111683,Tonnes
S12000014,Falkirk,Local Authority,2007/2008,Waste Arisings (Tonnes),102264,Tonnes
S12000013,Na h-Eileanan Siar,Local Authority,2004/2005,Waste Arisings Per Capita (Kg),797,Kg Per Capita
